"Excel Analysed Data Export"
"Copyright (c) 2010 QIAGEN GmbH. All Rights Reserved."
"File","Run 2021-09-17 mRT-OLA-PCR LOD dT_21 n = 1 (pcr).rex"
"Date","9/17/2021"
"Time","1:02:20 PM"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Name","Type","Ct","Ct Comment","Given Conc (copies/reaction)","Calc Conc (copies/reaction)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","100aM (10^3)","Unknown","38.23","","","","","38.27","0.07","","",""
"2","100aM (10^3)","Unknown","38.32","","","","","","","","",""
"3","1fM (10^4)","Unknown","35.23","","","","","35.48","0.35","","",""
"4","1fM (10^4)","Unknown","35.73","","","","","","","","",""
"5","10fM (10^5)","Unknown","32.32","","","","","32.07","0.34","","",""
"6","10fM (10^5)","Unknown","31.83","","","","","","","","",""
"7","100fM (10^6)","Unknown","28.13","","","","","28.46","0.46","","",""
"8","100fM (10^6)","Unknown","28.78","","","","","","","","",""
"9","1pM (10^7)","Unknown","24.62","","","","","24.82","0.29","","",""
"10","1pM (10^7)","Unknown","25.02","","","","","","","","",""
"11","RT Control","Unknown","","","","","","","","","",""
"12","RT Control","Unknown","","","","","","","","","",""
"13","Ligation Control","Unknown","","","","","","","","","",""
"14","Ligation Control","Unknown","","","","","","","","","",""
"15","PCR NTC","Unknown","","","","","","","","","",""
"16","PCR NTC","Unknown","","","","","","","","","",""



