"Excel Raw Data Export"
"Copyright (c) 2010 QIAGEN GmbH. All Rights Reserved."
"File","Run 2021-09-17 mRT-OLA-PCR LOD dT_21 n = 2 (pcr).rex"
"Date","9/17/2021"
"Time","3:17:48 PM"


"Channel Cycling A.Green"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"Page 1"," 100aM (10^3)"," 100aM (10^3)"," 1fM (10^4)"," 1fM (10^4)"," 10fM (10^5)"," 10fM (10^5)"," 100fM (10^6)"," 100fM (10^6)"," 1pM (10^7)"," 1pM (10^7)"," RT Control"," RT Control"," Ligation Control"," Ligation Control"," PCR NTC"," PCR NTC"
"1","8.73426413366903","9.1280740571196","8.55695429922942","8.67486294128546","8.12472489744177","8.29938200961318","8.79873350118257","8.22602132741753","8.6341649500267","8.47263059668644","12.7586131728956","11.6437236373148","11.828575788292","11.7442822684297","13.1892445694231","12.7147560610596"
"2","8.93361235544801","9.36833518202252","8.80210809256357","8.83168711962486","8.28844637725388","8.53636635737803","8.81503522290888","8.23200755908469","8.75269233703658","8.58644235904478","13.0369561772629","11.8034403225522","11.9030543475497","12.1161720200402","13.4099336232547","12.8037435467053"
"3","8.87900685566055","9.47879540921427","8.85099565117876","9.03089951934081","8.43900205996796","8.75072207871475","8.83659494926375","8.47160550342056","8.84075030790526","8.71557183184558","13.1599254487787","12.0402265964752","12.120475846729","12.1965362020294","13.3332159562418","12.8278528013021"
"4","8.99366750591287","9.51654332290633","9.15782914981816","9.26248060832634","8.58042544927416","8.83715353845818","9.13624399176013","8.60303654535744","8.98491900002543","8.83450416982117","13.1101156415874","12.1375346506956","12.3156582996363","12.3448179912844","13.272188252733","12.8865214285219"
"5","9.34853513389792","9.52843753484632","9.17884663593064","9.27361969431093","8.78396494784684","8.97753653990779","9.23420517835716","8.58888727050778","9.12397955291066","8.99636717901767","13.3105537935018","12.3594008290735","12.4062387600955","12.4138011984201","13.4761812537047","12.9290709798835"
"6","9.50698100251774","9.78091565869089","9.30756738493062","9.5237424511858","8.93169240159398","9.0322510327088","9.27631154227629","8.79283530233404","9.08707451852336","8.99726427535995","13.5359513455188","12.5424464907184","12.646677347982","12.6242247871911","13.6204376991743","13.243177945627"
"7","9.46560725457498","9.87993057145037","9.38684163678442","9.62864627044073","9.03780967639974","9.19574055303055","9.43376312911676","8.93568322270542","9.25642786297398","9.14331491351404","13.6403666524976","12.6074107983012","12.6009002822919","12.6931665013606","13.7000584929173","13.2567112448092"
"8","9.6078431372549","9.94864752246304","9.72657006532035","9.88937209124895","8.95895323109789","9.38852404176277","9.55914142570128","9.00892652780957","9.4338315990868","9.21904325932708","13.6547118098961","12.8809541975026","12.7509473309428","12.8448411790138","13.6897404876347","13.2879631748938"
"9","9.79253599075068","10.086662268478","9.4920925568671","9.91812947866965","9.19406932682282","9.4095712214847","9.59477124183007","9.08491645685512","9.49451555539905","9.18033620711579","13.7386129549096","12.9811551079576","12.9243915465019","12.8412807405712","13.9321990793723","13.4823949034867"
"10","9.90930418860151","10.2971694514382","9.7283894102388","10.1162955454555","9.33546959639887","9.60135805294881","9.75356679636836","9.2808892488453","9.61060883497368","9.49841415165288","14.0193353606034","13.216347498792","13.0754558632792","13.1354355570423","13.884489204242","13.4951879584519"
"11","9.93616642506549","10.3116400905369","9.99956402794581","10.11858439874","9.45944914930953","9.70918847435213","9.85176950157495","9.23268918462326","9.62462806134127","9.47763281706976","14.1215708073112","13.3382631711769","13.1090257114519","13.3790014060099","13.8324123423689","13.7027190403249"
"12","10.018978408484","10.2697912448427","10.1378593939821","10.2193738714682","9.54385061417563","9.96817404004403","9.86861982146945","9.36639454744284","9.77225909819181","9.57174968161464","14.3320871798784","13.3828664659518","13.3950815086086","13.3951910605607","14.0949765120056","13.6284428168154"
"13","10.1102757774765","10.5872816052491","10.3017178137343","10.3766043981196","9.69548078634826","10.0745784695201","10.0050354772259","9.55275806820783","9.87880815301278","9.77228452989497","14.4803031459017","13.5293027716923","13.497074375994","13.4536448521342","14.0674096636559","13.6539762467892"
"14","10.2497901884489","10.5955786984054","10.4895966168569","10.4896385372467","9.79825393192297","10.3019525679173","10.2306292166672","9.6496880703793","10.1089224886567","9.73983367666133","14.507297082257","13.64683687412","13.4640914132789","13.6608573390446","13.9976876712972","13.8056000610361"
"15","10.3944457160296","10.6724650949874","10.5032616159304","10.6562073007484","9.816001627629","10.2454159355052","10.2923192623353","9.67062311305845","10.0701221415344","9.87881793443707","14.7210323818243","13.699549858854","13.7704456221279","13.7163347829404","14.1652043437349","13.7677459490231"
"16","10.5882352941177","10.7188270898502","10.7602553342997","10.9177127899948","9.97929859362682","10.4893786308298","10.366157836975","9.78866254673076","10.2905826403194","10.0243695555585","14.6898603799496","13.9605965103791","13.8252460517281","13.8322016225427","14.3418159623241","13.8737206945035"
"17","10.7347219043259","10.9438722311233","10.896937044797","10.8671484157866","10.0713904238738","10.5554870855855","10.6347166223568","9.90405889982452","10.4753185320821","10.151013453371","14.7733780931309","14.153212317552","13.9348909273377","14.0430958375568","14.2478573790087","13.9401337707586"
"18","10.7719157701991","11.0177767605097","11.0838013744857","11.1066899073308","10.1943999389639","10.8956458967903","10.7525632222359","10.056634446655","10.5283436331731","10.3300526436255","15.0582131685359","14.2359553419292","14.0295807038769","14.1041173927418","14.4470071776091","13.9931770373519"
