"Excel Raw Data Export"
"Copyright (c) 2010 QIAGEN GmbH. All Rights Reserved."
"File","Run 2021-09-09 OLA-PCR LOD (dT_21)(pcr) (n = 3).rex"
"Date","9/9/2021"
"Time","4:45:32 PM"


"Channel Cycling A.G2"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Page 1"," 10^0"," 10^0"," 10^1"," 10^1"," 10^2"," 10^2"," 10^3"," 10^3"," 10^4"," 10^4"," 10^5"," 10^5"," 10^6"," 10^6"," 10^7"," 10^7"," Ligation Control"," Ligation Control"," PCR NTC"," PCR NTC"
"1","4.65362020294499","4.69804938836754","4.67907007160841","4.8000523166465","4.59237870544806","4.8635197868432","4.89428040995905","4.37666895551995","4.6883853411663","4.47065866154902","4.54479067891748","4.52702481770918","4.5193153785509","4.60015912979978","4.68858879479159","4.6897513869361","4.57078132060966","4.72561008839333","5.13150733704636","5.24332690274553"
"2","4.70232191449861","4.73269463427394","4.73073276003008","4.663563998881","4.72441116524431","4.89224587370616","4.82747768368047","4.39389404369949","4.71515514317071","4.56604431655931","4.60763772734475","4.61303707355435","4.64382899722794","4.63696243737443","4.78664617598012","4.67231250476844","4.60965514610513","4.62817033428157","5.14752204383699","5.21115943134712"
"3","4.72996980893525","4.87275065668291","4.83623799714438","4.79614533631471","4.78937100131881","5.01573586633097","4.81696803234913","4.52277409018082","4.77302204928664","4.67787114845938","4.67512955496476","4.68517368036709","4.68808016072836","4.80018310826276","4.84074863108967","4.76300831616693","4.68242160677501","4.78206846941111","5.1215953307393","5.297932402533"
"4","4.77971254350288","4.86330459550876","4.91409864264064","4.79158719259429","4.75819899944413","5.03232369471783","4.88441290913252","4.51789120317388","4.79865720607309","4.70304853458893","4.6920475064215","4.6779074794639","4.77607385366598","4.78315839954659","4.87787332831965","4.78573790086722","4.69835456880547","4.71550727444525","5.18603290862389","5.21422576812826"
"5","4.87100676846614","4.93258782112066","4.94961979603774","4.96363266447954","4.89428040995905","5.0631782195069","4.90048574553038","4.58958680748564","4.87362260079129","4.82243780481363","4.7480989801887","4.71717402914473","4.88546930295614","4.89298143681298","5.05003198525744","4.90108884020534","4.78558139807854","4.8212640338985","5.26518419400086","5.30621587156263"
"6","4.84815029238979","4.86854352635996","4.92125254771169","4.92490018056509","4.91838966455583","5.03471427481498","4.89394979781796","4.64050331296841","4.88375895105124","4.8181633223977","4.80909873677097","4.72865350869471","4.89265278095674","4.92408636606393","5.0056634446655","4.91318706470915","4.74789552656341","4.82697359099282","5.18436168241616","5.22907606622416"
"7","4.92179751277943","4.9732204165713","5.00801098649576","5.0206251112637","5.01317557852234","5.167526453862","4.87385875232064","4.73144121461814","5.02080508947069","4.9702703390046","4.81544213015946","4.82595178149081","4.96517673217147","5.00371071668851","5.0985478497495","4.95670252536812","4.90815976195926","4.93558932103221","5.25134152234175","5.33220651325481"
"8","5.0029637715607","5.03007787970022","5.07525967585478","5.1225808092368","5.06154472165001","5.1798096212621","4.84473945220111","4.82728694590677","4.99838606499169","5.00424111049776","4.91426337071794","4.92754507769385","5.02831722332752","5.05836575875486","5.1295381966016","5.07342132702627","4.89407695633377","4.99146081659242","5.30800335698482","5.23298619058518"
"9","5.03578240634775","4.99794003204394","5.09071488517586","5.15250218614833","5.07454032196536","5.15813628654096","4.91912718394751","4.84597924773022","5.0640532123709","5.04256177179043","4.96575523355107","4.98400345871163","5.09575036240177","5.06861110202836","5.2099750405999","5.06647211413748","5.01218178581419","4.97303261322488","5.39800615447217","5.30937666895552"
"10","5.09470130464637","5.05292973220416","5.15487907225147","5.25304544645355","5.22222417850708","5.30218313006136","4.95812572260272","4.9192739053119","5.09569167385601","5.17335338804783","5.05030027575232","5.02784771496147","5.16375473665471","5.09994659342336","5.24183305732455","5.11690491548583","5.04639329542053","5.07881284809644","5.40507253485052","5.27561608300908"
"11","5.18654154268711","5.11743997209779","5.18338074529423","5.29323731887248","5.26610644257703","5.34159668057585","4.8577096208133","4.97179624119427","5.21772716868849","5.2333676661326","5.030772360825","5.07763027389944","5.21858548867018","5.20109630203473","5.26741435873961","5.18420182599629","5.0661987233285","5.09040970473793","5.36751354238193","5.22901248696625"
"12","5.22875816993464","5.16795327964932","5.25253681239033","5.39199337322478","5.36570789145749","5.37234947855227","4.99357360423966","5.05856921238015","5.31789628951451","5.30425399731877","5.14076447699702","5.18763147282259","5.38643472953384","5.3195297873714","5.4121403125752","5.260329812859","5.18125174842959","5.19508659494926","5.4469621830574","5.3220925205361"
"13","5.27412832837415","5.12212667168034","5.27077134355688","5.44429185422548","5.40908850819586","5.284434037009","4.90178471867645","5.13389791714351","5.34863930606664","5.34347471404006","5.23384451056687","5.18763147282259","5.45322229460476","5.38396981061206","5.53456461902331","5.35720783374709","5.24238956282902","5.18771531360225","5.39792985936268","5.28515297169451"
"14","5.26970321202411","5.09498741130693","5.32310978866255","5.51600925713995","5.4364373705184","5.3752839058401","4.93059688207319","5.12081037143981","5.32598552740462","5.44146893517459","5.19231817240515","5.25324526697839","5.46087695778701","5.3966074107983","5.56355676062703","5.36441814079718","5.22718602828468","5.22692708730704","5.49512591627492","5.31417236155163"
"15","5.26003916482287","5.13724316425163","5.33869578959989","5.55373900532976","5.48091350677755","5.36975879846102","4.9057755397879","5.20210574502174","5.41647592889296","5.4049803099929","5.26753173583112","5.34781766642604","5.50342056407518","5.41150312264984","5.60794486406755","5.44864458803575","5.25449505353374","5.28328374151217","5.44767427074591","5.24376287479973"
