"Excel Raw Data Export"
"Copyright (c) 2010 QIAGEN GmbH. All Rights Reserved."
"File","Run 2021-09-15 RT-OLA-PCR LOD dT_21 n = 3 (pcr).rex"
"Date","9/15/2021"
"Time","4:01:49 PM"


"Channel Cycling A.Green"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"Page 1"," 10aM (10^2)"," 10aM (10^2)"," 100aM (10^3)"," 100aM (10^3)"," 1fM (10^4)"," 1fM (10^4)"," 10fM (10^5)"," 10fM (10^5)"," 100fM (10^6)"," 100fM (10^6)"," 1pM (10^7)"," 1pM (10^7)"," RT Control"," RT Control"," Ligation Control"," Ligation Control"," PCR NTC"," PCR NTC"
"1","11.3568204893451","11.6667211631734","11.5098802166781","12.0795503674881","11.1445792324712","11.342148352906","11.6856450751507","11.2985427634089","10.8991378652628","10.8968744436815","10.7314793621729","11.3707883632351","11.7015570071189","11.027577747651","11.0362401770047","10.679694056611","11.1035542621718","12.0188272854787"
"2","11.5296079521303","11.9451692479845","11.8288955011317","12.099750405999","11.2255929010335","11.5950959851166","11.9326641162302","11.702026515485","10.9807736324102","11.1781054834385","11.0557717250324","11.4199609805011","11.7635069592039","11.2075989929046","11.3052058696371","11.0040436408026","11.3034139127067","12.21713588159"
"3","11.8413279708771","12.0868619821469","12.0232954400956","12.2820884514636","11.4463009587752","11.5543493662056","12.1029475343964","11.6681045360377","11.2798211173125","11.3083437505502","11.1078049897002","11.6223274703476","12.093893848071","11.4321545738918","11.5446707866026","11.2095318023448","11.3138526487119","12.4723723670851"
"4","11.9115993998118","12.4843213550011","11.9639451111184","12.4914712966899","11.7532616159304","11.9049617252867","12.4679288057636","11.8697388164085","11.4160372320134","11.4563562629482","11.2663462272068","11.9601600810115","12.4090180819409","11.8118053966074","11.5697425333498","11.2367437247272","11.5118756272338","12.6447993145178"
"5","12.1808957045853","12.7973347575087","12.3719059608279","12.7320188775899","11.7392350534946","12.0651996207043","12.5574814290768","11.9598942041148","11.6486283229245","11.7621235863397","11.5553051510937","12.0130210320185","12.5836458498395","11.9686318107009","11.9596692313561","11.2681518781313","11.5326415910073","12.6795429336056"
"6","12.2995932883779","12.9246967269398","12.6030801425629","12.8423997355103","12.1150765005194","12.2205437298136","12.8023193713283","12.1883198056235","11.7354276340887","11.8193522545205","11.4769461610844","12.2133211261158","12.7475776302739","11.9952188398057","11.9979341631894","11.3864092978307","11.7680437933928","12.7028305485618"
"7","12.4900180565092","12.8999771114672","12.6269496125298","12.9885642108119","12.1868358238237","12.2970277605206","13.1566808106062","12.3545179420666","11.9069008926528","11.8938989344116","11.8607359934895","12.3873913528297","12.7580682078279","12.0819981689174","11.9631905441015","11.5148393987945","11.7902102475231","12.9199035988852"
"8","12.6991302357519","13.2762391597365","12.7265964751659","13.0388342107271","12.3007335229812","12.3917343052157","13.3273568830905","12.5444419012741","12.0915541313802","12.1404299522862","12.0024196449008","12.5891699092088","12.8856081991811","12.3279817763681","12.2277082039041","11.6685740444038","11.8261488771903","13.0086682982082"
"9","12.7095445181964","13.2919544563076","12.9399048854302","13.3639531039394","12.6308314406277","12.6685486127006","13.3865364563465","12.5986622924137","12.2607414710871","12.3055873451845","12.0695341890123","12.6948779053851","13.1130947839577","12.4861054867921","12.3113058452953","11.9675491467664","11.9463899697363","13.0769817654688"
"10","12.9298275730526","13.6113745108939","13.0407122441913","13.6480760916559","12.720683604181","12.7751801109549","13.5690852216373","12.8386867068488","12.4934331709337","12.380080436844","12.3456931410697","12.8379699952142","13.2261680487819","12.5104360810472","12.4674792095827","11.9438903966256","12.0242046234836","13.0019945721479"
"11","13.0670047126902","13.771149884677","13.1905088883803","13.7122265847375","12.8255600354479","13.015945677882","13.9081915515882","12.8810793997336","12.6979711369732","12.6957096716767","12.5593739441302","13.051393559519","13.2964573637496","12.8034637979705","12.6667833533047","12.0866712443732","12.2065499351492","13.3319091579563"
"12","13.1539308330336","13.8857099259937","13.2026507100895","13.8380799790733","13.0809055139566","12.9663538567178","13.9760651342249","12.9313852648712","12.9199409984487","12.8348328256774","12.6053606117694","13.2406892718177","13.5203072149742","12.7646077886407","12.6067859050235","12.0606135300573","12.1678301670863","13.2865852389771"
"13","13.4406551206734","13.9144477505659","13.511005569543","14.0113425396099","13.2679542933606","13.173113603418","14.3320950050179","13.2322716575406","12.9330383255767","13.0958012258081","12.7706569008927","13.402711019557","13.5744258793011","12.9864766918441","12.9195958539058","12.3764836673969","12.1825850962953","13.4417897658914"
"14","13.5067775488924","14.1935352610564","13.8240380458279","14.1711553622746","13.3128426467863","13.2811474784466","14.2004526843163","13.2247762918397","13.1436128277511","13.0539842396102","13.009460593576","13.5621232928969","13.8100017019678","13.1710790671651","13.0842842973765","12.4177920195315","12.3216601815824","13.443579766537"
"15","13.6818259180356","14.4591717125478","13.7747352212905","14.1428831334988","13.5765621423667","13.3324432237227","14.4100099183642","13.5015095532376","13.243741076197","13.3435786766068","13.0610106558836","13.7291288859153","13.9379975076931","13.3374415315363","13.1319142442969","12.553025101091","12.4577706569009","13.562091503268"
"16","13.79742558502","14.5958827568565","13.8612001220722","14.3335113552555","13.8188563363088","13.5789018590575","14.600595101854","13.5082671200776","13.4122733399456","13.5359731441215","13.1896637733214","13.8427666786559","13.9563502214802","13.5791125788837","13.2207217517357","12.523587904682","12.5364854112851","13.4916750297844"
